,N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
3658,3659,Software Engineer,10 і більше років,0.5,2200,0,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,38,Вища,False,Intermediate (середній),13/06/2017 22:40:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,2200,Python
3659,3660,Junior Software Engineer,0.5,менше 3 місяців,800,800,Київ,до 10 осіб,Аутстафінгова,чоловіча,23,Вища,True,Intermediate (середній),13/06/2017 22:43:04,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.0,800,JavaScript
3660,3661,Software Engineer,1,менше 3 місяців,2150,1850,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,31,Вища,False,Advanced (просунутий),13/06/2017 22:44:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,2150,JavaScript
3661,3662,Software Engineer,2,2,1000,500,Київ,до 10 осіб,Аутсорсингова,чоловіча,25,Вища,False,Pre-intermediate (нище середнього),13/06/2017 22:44:10,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1000,PHP
3662,3663,Junior Software Engineer,1.5,1.5,855,471,Харків,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Pre-intermediate (нище середнього),13/06/2017 22:45:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,855,C#/.NET
3663,3664,Senior Software Engineer,5,1,4000,300,Київ,до 1000 осіб,Аутсорсингова,чоловіча,30,Неповна Вища,False,Advanced (просунутий),13/06/2017 22:46:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,1.0,4000,JavaScript
3664,3665,Junior Software Engineer,0.5,0.5,600,300,Дніпро,до 200 осіб,Стартап,чоловіча,21,Неповна Вища,True,Intermediate (середній),13/06/2017 22:46:45,"Mozilla/5.0 (Linux; Android 6.0; U20 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,600,Ruby/Rails
3665,3666,Junior Software Engineer,0.5,0.5,700,300,Харків,до 50 осіб,Аутсорсингова,чоловіча,25,Вища,False,Intermediate (середній),13/06/2017 22:47:52,"Mozilla/5.0 (Linux; Android 5.1; MX4 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",0.5,0.5,700,JavaScript
3667,3668,Senior Software Engineer,8,2,3600,300,Дніпро,до 200 осіб,Продуктова,чоловіча,28,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 22:47:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3124.4 Safari/537.36",8.0,2.0,3600,JavaScript
3668,3669,Technical Lead,10 і більше років,0.5,5600,2600,Київ,до 200 осіб,Продуктова,чоловіча,31,Неповна Вища,False,Upper-Intermediate (вище середнього),13/06/2017 22:49:25,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",10.0,0.5,5600,Java
3669,3670,Software Engineer,2,1.5,900,500,Львів,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),13/06/2017 22:51:07,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0,2.0,1.5,900,PHP
3670,3671,Senior Software Engineer,10 і більше років,0.5,3100,300,Дніпро,до 50 осіб,Продуктова,чоловіча,38,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 22:52:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,3100,C#/.NET
3672,3673,Junior Software Engineer,0.5,0.5,344,0,Київ,до 200 осіб,Аутсорсингова,чоловіча,21,Вища,True,Upper-Intermediate (вище середнього),13/06/2017 22:58:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,344,C#/.NET
3673,3674,Software Engineer,4,0.5,2100,800,Київ,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Pre-intermediate (нище середнього),13/06/2017 22:58:12,"Mozilla/5.0 (Linux; Android 4.3; Nexus 10 Build/JWR66V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36",4.0,0.5,2100,JavaScript
3674,3675,Software Engineer,1,1,900,600,Київ,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 22:58:55,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.0,1.0,900,Java
3676,3677,Junior Software Engineer,1,0.25,1000,650,Харків,до 200 осіб,Аутсорсингова,чоловіча,27,Вища,False,Intermediate (середній),13/06/2017 23:00:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,1000,JavaScript
3677,3678,Software Engineer,3,3,1710,300,Львів,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,False,Intermediate (середній),13/06/2017 23:03:38,"Mozilla/5.0 (Linux; Android 7.0; MI 5s Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,3.0,1710,JavaScript
3678,3679,Junior Software Engineer,менше 3 місяців,менше 3 місяців,700,0,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,23,Вища,False,Intermediate (середній),13/06/2017 23:05:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,700,Java
3679,3680,Junior Software Engineer,0.25,0.25,500,200,Київ,до 1000 осіб,Продуктова,чоловіча,20,Неповна Вища,True,Intermediate (середній),13/06/2017 23:07:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",0.25,0.25,500,Python
3681,3682,Junior Software Engineer,1,1,610,310,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,21,Вища,True,Intermediate (середній),13/06/2017 23:08:54,"Mozilla/5.0 (Linux; Android 7.1.1; ONEPLUS A3010 Build/NMF26F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,610,Java
3685,3686,Junior Software Engineer,1,0.25,500,0,Одеса,до 10 осіб,Продуктова,чоловіча,20,Неповна Вища,True,Upper-Intermediate (вище середнього),13/06/2017 23:10:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,500,Swift
3686,3687,Software Engineer,10 і більше років,7,645,75,Харків,до 200 осіб,Продуктова,чоловіча,38,Кандидат,False,Elementary (початковий),13/06/2017 23:12:20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,7.0,645,C++
3688,3689,Technical Lead,7,1,4400,400,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,27,Вища,False,Advanced (просунутий),13/06/2017 23:19:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.0,4400,Objective-C
3690,3691,Software Engineer,1.5,2,2000,600,Харків,до 50 осіб,Аутсорсингова,чоловіча,21,Вища,False,Intermediate (середній),13/06/2017 23:22:46,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,2.0,2000,Java
3691,3692,Software Engineer,3,0.5,2300,500,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,27,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 23:25:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,2300,JavaScript
3694,3695,Software Engineer,5,5,2200,0,Київ,до 1000 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),13/06/2017 23:29:02,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2200,C#/.NET
3695,3696,Software Engineer,5,5,2100,0,Київ,до 1000 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),13/06/2017 23:30:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2100,JavaScript
3696,3697,Senior Software Engineer,4,0.5,3300,600,Львів,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Advanced (просунутий),13/06/2017 23:35:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.5,3300,Swift
3697,3698,Junior Software Engineer,0.5,0.5,400,100,Одеса,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Intermediate (середній),13/06/2017 23:39:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,400,JavaScript
3699,3700,Software Engineer,3,1,2600,500,Львів,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 23:39:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2600,Swift
3700,3701,Senior Software Engineer,9,3,1500,-200,Київ,до 1000 осіб,Аутсорсингова,чоловіча,27,Кандидат,False,Upper-Intermediate (вище середнього),13/06/2017 23:41:27,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",9.0,3.0,1500,C#/.NET
3702,3703,Software Engineer,5,1.5,1900,0,Чернівці,більше 1000 осіб,Аутстафінгова,чоловіча,40,Кандидат,False,Upper-Intermediate (вище середнього),13/06/2017 23:45:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",5.0,1.5,1900,Java
3703,3704,Software Engineer,1.5,1.5,760,460,Харків,до 1000 осіб,Аутсорсингова,чоловіча,20,Вища,False,Advanced (просунутий),13/06/2017 23:48:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,760,Java
3705,3706,Software Engineer,3,1.5,2000,700,Київ,до 1000 осіб,Аутстафінгова,жіноча,23,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 23:51:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,2000,JavaScript
3706,3707,Senior Software Engineer,9,9,3100,0,Київ,до 200 осіб,Продуктова,чоловіча,31,Вища,False,Intermediate (середній),13/06/2017 23:51:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",9.0,9.0,3100,C++
3707,3708,Senior Software Engineer,3,3,2800,500,Київ,до 1000 осіб,Аутсорсингова,чоловіча,25,Вища,False,Intermediate (середній),13/06/2017 23:54:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,2800,Ruby/Rails
3708,3709,Junior Software Engineer,1,1,700,200,Київ,до 10 осіб,Продуктова,чоловіча,34,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:02:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,700,Java
3709,3710,Senior Software Engineer,4,1,3000,400,Львів,до 1000 осіб,Аутстафінгова,чоловіча,23,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:05:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,3000,Java
3711,3712,Senior Software Engineer,5,0.5,3000,1500,Київ,до 200 осіб,Продуктова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:06:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",5.0,0.5,3000,PHP
3712,3713,Software Engineer,1.5,1.5,1050,300,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,28,Середня,False,Intermediate (середній),14/06/2017 00:07:54,"Mozilla/5.0 (Linux; Android 5.1; m3 note Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,1050,Java
3714,3715,Senior Software Engineer,8,менше 3 місяців,4700,0,Харків,до 200 осіб,Продуктова,чоловіча,31,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:09:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",8.0,0.0,4700,C#/.NET
3717,3718,Junior Software Engineer,2,2,760,400,Харків,до 1000 осіб,Аутсорсингова,чоловіча,21,Вища,True,Intermediate (середній),14/06/2017 00:14:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,2.0,760,C#/.NET
3718,3719,Software Engineer,1.5,1,800,300,Київ,до 50 осіб,Аутсорсингова,чоловіча,22,Вища,True,Intermediate (середній),14/06/2017 00:16:42,"Mozilla/5.0 (Linux; Android 7.1.1; ONEPLUS A3003 Build/NMF26F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.0,800,C#/.NET
3720,3721,Junior Software Engineer,1,менше 3 місяців,350,0,Івано-Франківськ,до 200 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Intermediate (середній),14/06/2017 00:19:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,350,JavaScript
3722,3723,Senior Software Engineer,5,3,3100,0,Київ,до 1000 осіб,Аутсорсингова,чоловіча,26,Неповна Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:26:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,3.0,3100,Python
3723,3724,Software Engineer,1,0.5,750,450,Львів,до 10 осіб,Аутсорсингова,чоловіча,24,Вища,False,Pre-intermediate (нище середнього),14/06/2017 00:27:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,750,JavaScript
3724,3725,Technical Lead,4,3,3000,1000,Львів,до 200 осіб,Продуктова,чоловіча,31,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:29:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,3000,Ruby/Rails
3725,3726,Senior Software Engineer,10 і більше років,8,4200,400,Львів,до 1000 осіб,Аутсорсингова,чоловіча,31,Кандидат,False,Upper-Intermediate (вище середнього),14/06/2017 00:30:42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,8.0,4200,C#/.NET
3726,3727,Senior Software Engineer,10 і більше років,менше 3 місяців,3500,100,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,36,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:33:46,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.0,3500,JavaScript
3727,3728,Senior Software Engineer,10 і більше років,10 і більше років,3700,700,Київ,до 10 осіб,Продуктова,чоловіча,32,Неповна Вища,False,Intermediate (середній),14/06/2017 00:36:56,"Mozilla/5.0 (Linux; Android 6.0; Redmi Note 4 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,10.0,3700,PHP
3730,3731,Software Engineer,3,0.5,1600,-400,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,22,Вища,False,Intermediate (середній),14/06/2017 00:48:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",3.0,0.5,1600,Java
3731,3732,Software Engineer,1,0.5,900,600,Чернігів,до 200 осіб,Продуктова,чоловіча,22,Неповна Вища,True,Pre-intermediate (нище середнього),14/06/2017 00:49:05,"Mozilla/5.0 (Linux; Android 6.0; M5 Note Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.5,900,PHP
3732,3733,Software Engineer,3,2,1500,900,Київ,до 50 осіб,Продуктова,чоловіча,24,Вища,False,Intermediate (середній),14/06/2017 00:56:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,1500,PHP
3733,3734,Senior Software Engineer,7,1.5,3000,0,Одеса,до 50 осіб,Продуктова,чоловіча,26,Вища,False,Intermediate (середній),14/06/2017 00:57:30,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",7.0,1.5,3000,JavaScript
3734,3735,Software Engineer,2,2,700,80,Миколаїв,до 50 осіб,Продуктова,чоловіча,23,Неповна Вища,False,Elementary (початковий),14/06/2017 01:01:04,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",2.0,2.0,700,PHP
3735,3736,Junior Software Engineer,2,0.5,1000,600,Ужгород,до 200 осіб,Аутсорсингова,чоловіча,20,Середня,False,Pre-intermediate (нище середнього),14/06/2017 01:01:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36 OPR/44.0.2510.1159",2.0,0.5,1000,JavaScript
3737,3738,Senior Software Engineer,5,0.25,3300,0,Київ,до 50 осіб,Продуктова,жіноча,34,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 01:15:52,"Mozilla/5.0 (Linux; Android 6.0; Lenovo A7000-a Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",5.0,0.25,3300,Java
3738,3739,Software Engineer,1.5,1.5,1200,850,Львів,до 50 осіб,Аутсорсингова,чоловіча,32,Вища,False,Intermediate (середній),14/06/2017 01:17:20,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1200,JavaScript
3739,3740,Software Engineer,3,менше 3 місяців,2000,1000,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,25,Вища,False,Intermediate (середній),14/06/2017 01:20:21,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",3.0,0.0,2000,JavaScript
3741,3742,Junior Software Engineer,1.5,1.5,1000,700,Львів,до 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,True,Intermediate (середній),14/06/2017 01:24:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1000,Java
3742,3743,Software Engineer,7,менше 3 місяців,4600,1400,Київ,до 200 осіб,Продуктова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 01:27:30,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-A500H Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.4 Chrome/51.0.2704.106 Mobile Safari/537.36",7.0,0.0,4600,C++
3743,3744,Software Engineer,2,0.25,2250,1050,Харків,до 50 осіб,Аутстафінгова,чоловіча,31,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 01:29:14,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14F89 Safari/602.1",2.0,0.25,2250,JavaScript
3744,3745,Software Engineer,2,менше 3 місяців,800,300,Київ,до 10 осіб,Аутсорсингова,чоловіча,28,Вища,False,Intermediate (середній),14/06/2017 01:38:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,0.0,800,Java
3745,3746,Software Engineer,4,2,1300,400,Київ,до 200 осіб,Продуктова,чоловіча,25,Вища,False,Pre-intermediate (нище середнього),14/06/2017 01:40:03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,1300,PHP
3746,3747,Software Engineer,1.5,1.5,1600,800,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,True,Intermediate (середній),14/06/2017 01:42:53,"Mozilla/5.0 (Linux; U; Android 4.2.2; ru-ru; LG-P970 Build/JDQ39E) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 CyanogenMod/10.1/p970",1.5,1.5,1600,C#/.NET
3747,3748,Software Engineer,4,0.5,430,50,Одеса,до 10 осіб,Продуктова,чоловіча,26,Вища,False,Intermediate (середній),14/06/2017 01:43:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",4.0,0.5,430,PHP
3749,3750,Junior Software Engineer,0.5,0.5,600,600,Дніпро,до 200 осіб,Продуктова,чоловіча,20,Неповна Вища,True,Intermediate (середній),14/06/2017 02:34:09,"Mozilla/5.0 (Linux; Android 6.0; F3112 Build/33.2.B.4.70) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,600,C#/.NET
3750,3751,Senior Software Engineer,10 і більше років,4,3400,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,45,Вища,False,Pre-intermediate (нище середнього),14/06/2017 05:04:45,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,4.0,3400,Java
3752,3753,Software Engineer,2,1,800,100,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,28,Технікум / Коледж,False,Upper-Intermediate (вище середнього),14/06/2017 06:21:34,"Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,1.0,800,C#/.NET
3758,3759,Software Engineer,2,0.5,1400,850,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,False,Intermediate (середній),14/06/2017 07:37:39,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1400,C#/.NET
3760,3761,Junior Software Engineer,1,1,307,100,Київ,до 200 осіб,Продуктова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 07:47:43,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,307,SQL
3763,3764,Senior Software Engineer,10 і більше років,0.25,3600,1720,Дніпро,до 50 осіб,Аутстафінгова,чоловіча,35,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 08:03:28,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-ru; Redmi Note 2 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.85 Mobile Safari/537.36 XiaoMi/MiuiBrowser/8.2.5",10.0,0.25,3600,C#/.NET
3764,3765,Junior Software Engineer,0.5,0.5,200,0,Одеса,до 10 осіб,Продуктова,чоловіча,16,Середня,True,Upper-Intermediate (вище середнього),14/06/2017 08:07:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,200,PHP
3765,3766,Software Engineer,1.5,0.5,192,0,Харків,до 50 осіб,Продуктова,жіноча,23,Неповна Вища,False,Upper-Intermediate (вище середнього),14/06/2017 08:08:22,"Mozilla/5.0 (Windows Phone 10.0; Android 4.2.1; Microsoft; Lumia 430 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Mobile Safari/537.36 Edge/13.10586",1.5,0.5,192,PHP
